Participant_Identifier	Embryo_Number	Granular_Annotation_CURIE	General_Annotation_CURIE
3	3	normal	normal
3	25	normal	normal
3	9	ZP:0000043	ZP:0000943
3	16	ZP:0000043	ZP:0000943
3	6	ZP:0000054	ZP:0001609
3	9	ZP:0000054	ZP:0001609
3	16	ZP:0000054	ZP:0001609
3	6	ZP:0000100	ZP:0000100
3	9	ZP:0000100	ZP:0000100
3	16	ZP:0000100	ZP:0000100
3	1	ZP:0000102	ZP:0002676
3	2	ZP:0000102	ZP:0002676
3	4	ZP:0000102	ZP:0002676
3	6	ZP:0000102	ZP:0002676
3	17	ZP:0000102	ZP:0002676
3	21	ZP:0000102	ZP:0002676
3	26	ZP:0000102	ZP:0002676
3	6	ZP:0000398	ZP:0000398
3	9	ZP:0000473	ZP:0012799
3	19	ZP:0000473	ZP:0012799
3	23	ZP:0000473	ZP:0012799
3	13	ZP:0000624	ZP:0000624
3	18	ZP:0000624	ZP:0000624
3	6	ZP:0000916	ZP:0007203
3	9	ZP:0000916	ZP:0007203
3	14	ZP:0000916	ZP:0007203
3	19	ZP:0000916	ZP:0007203
3	9	ZP:0001129	ZP:0001129
3	1	ZP:0001192	ZP:0000107
3	2	ZP:0001192	ZP:0000107
3	5	ZP:0001192	ZP:0000107
3	6	ZP:0001192	ZP:0000107
3	9	ZP:0001192	ZP:0000107
3	14	ZP:0001192	ZP:0000107
3	16	ZP:0001192	ZP:0000107
3	19	ZP:0001192	ZP:0000107
3	20	ZP:0001192	ZP:0000107
3	23	ZP:0001192	ZP:0000107
3	1	ZP:0001211	ZP:0001696
3	2	ZP:0001211	ZP:0001696
3	4	ZP:0001211	ZP:0001696
3	6	ZP:0001211	ZP:0001696
3	9	ZP:0001211	ZP:0001696
3	10	ZP:0001211	ZP:0001696
3	12	ZP:0001211	ZP:0001696
3	15	ZP:0001211	ZP:0001696
3	16	ZP:0001211	ZP:0001696
3	17	ZP:0001211	ZP:0001696
3	23	ZP:0001211	ZP:0001696
3	24	ZP:0001609	ZP:0001609
3	5	ZP:0002060	ZP:0002676
3	9	ZP:0002060	ZP:0002676
3	14	ZP:0002060	ZP:0002676
3	16	ZP:0002060	ZP:0002676
3	20	ZP:0002676	ZP:0002676
3	2	ZP:0003437	ZP:0003437
3	6	ZP:0004969	ZP:0001129
3	4	ZP:0005012	ZP:0109741
3	15	ZP:0005012	ZP:0109741
3	11	ZP:0005125	ZP:0001696
